- If you played less than 15 games (15*90 minutes) between 11 December and 3 February then you won't be shown here.,,,,
- However your rating could still change up to a tenth up or down.,,,,
- No decays this time. So inactive players (0 games) ratings won't change. Only this time though.,,,,
- Rating system will never be perfect. Whether it's based on algorithm or opinion. ,,,,
- Ratings are based on a combination of match results and individual performance metrics.,,,,
"- Don't base your (potential) signing(s) on ratings. It's dumb. Yes, I said it.",,,,
- Rating on the wrong account? Make a support ticket and link your old + new HUB. You will get a re-generated rating.,,,,
"- Yes, these will be EFC Season 4 ratings. We've decided to release them earlier than usual for more preparation time.",,,,
- EFC Season 4 is projected to start in late February/early March. Management will provide all necessary information beforehand.,,,,
- Don't put pressure on them by asking them when it starts and such. They are working hard to have another great season.,,,,
HUB,Name,New,Old,+/-
6,aryan,9.2,9.1,0.1
60689,Draggy,8.9,9,-0.1
6590,GINIX,8.9,9,-0.1
436,Hiei,8.9,9.1,-0.2
265,milkaz,8.8,8.9,-0.1
17267,bogba,8.8,8.7,0.1
13,SirGodRock,8.8,8.8,0
397,chuky,8.8,8.6,0.2
8531,edwar,8.8,8.7,0.1
32971,slaboo,8.7,8.5,0.2
11781,fic,8.7,8.5,0.2
451,Lua,8.7,8.6,0.1
10092,Aguero,8.6,8.7,-0.1
421,Arxavin,8.6,8.7,-0.1
201,R0D,8.6,8.6,0
25183,MDB,8.6,8.6,0
174,Juelz,8.6,8.5,0.1
191,Gioforkyra,8.6,8.5,0.1
23563,Gonzalez,8.5,8.4,0.1
438,cbot,8.5,8.6,-0.1
57976,Kermit,8.5,8.5,0
442,klipzy,8.5,8.5,0
1598,Declan,8.5,8.4,0.1
359,Mike,8.5,8.4,0.1
63583,Chefkewiles,8.5,8.6,-0.1
31276,Milos,8.5,8.5,0
168,yubo,8.5,8.5,0
1357,overdose,8.5,8.5,0
32539,guffy,8.5,8.6,-0.1
19714,Tisen,8.5,8.5,0
497,mTz-,8.5,8.6,-0.1
6084,SkyzZ,8.5,8.5,0
21105,reborn,8.5,8.4,0.1
8965,Seny,8.5,8.5,0
1808,patrick,8.5,8.5,0
28168,fliker,8.5,8.5,0
3961,Treizer,8.5,8.5,0
8213,TaxiStudent,8.5,8.4,0.1
11023,Hibb,8.5,8.4,0.1
572,Flame,8.5,8.4,0.1
545,Lewissaldo,8.4,8.5,-0.1
25747,Rav,8.4,8.3,0.1
13194,Toadragoss,8.4,8.4,0
9218,Bay,8.4,8.4,0
316,xCriss,8.4,8.2,0.2
14809,hyprid,8.4,8.2,0.2
24538,MSN(Kichano),8.4,8.2,0.2
420,Void,8.4,8.2,0.2
20100,leyonis,8.4,8.3,0.1
28659,joota danel,8.4,8.3,0.1
543,Jay-,8.3,8.5,-0.2
672,sensible loan,8.3,8.3,0
456,Kris,8.3,8.2,0.1
345,Miloš,8.3,8.4,-0.1
9031,fom,8.3,8.3,0
6238,K1NCHENKO,8.3,8.3,0
31929,guava,8.3,8.2,0.1
8355,ImKebab,8.3,8.1,0.2
544,colon,8.3,8.3,0
12,.kAimb0t,8.3,8.2,0.1
6676,Jim,8.3,8.2,0.1
27024,Vyney,8.3,8.2,0.1
9,Kobe,8.3,8.2,0.1
47552,Broz,8.2,8.3,-0.1
14868,Fabianski,8.2,8.3,-0.1
447,Sean,8.2,8.2,0
3021,Tarik,8.2,8.2,0
22707,Slumby,8.2,8.2,0
2456,robi,8.2,8.3,-0.1
56790,ykwin,8.2,8.2,0
2534,KYZR,8.2,8.2,0
8398,marcy,8.2,8.1,0.1
17803,JohnCalvin,8.2,8,0.2
8929,hisoka,8.2,8.2,0
454,Davich,8.2,8.1,0.1
107903,yamikami.,8.2,8.1,0.1
4,tet-,8.2,8.2,0
